image,cultivar,file_path,is_exist,label_index
2017-06-16__12-24-20-930.jpeg,PI_257599,../input/sorghum-id-fgvc-9/train_images/2017-06-16__12-24-20-930.png,True,0
2017-06-02__16-48-57-866.jpeg,PI_154987,../input/sorghum-id-fgvc-9/train_images/2017-06-02__16-48-57-866.png,True,1
2017-06-12__13-18-07-707.jpeg,PI_92270,../input/sorghum-id-fgvc-9/train_images/2017-06-12__13-18-07-707.png,True,2
2017-06-22__13-18-06-841.jpeg,PI_152651,../input/sorghum-id-fgvc-9/train_images/2017-06-22__13-18-06-841.png,True,3
2017-06-26__12-56-48-642.jpeg,PI_176766,../input/sorghum-id-fgvc-9/train_images/2017-06-26__12-56-48-642.png,True,4
2017-06-05__12-30-08-470.jpeg,PI_156330,../input/sorghum-id-fgvc-9/train_images/2017-06-05__12-30-08-470.png,True,5
2017-06-18__13-23-50-617.jpeg,PI_329299,../input/sorghum-id-fgvc-9/train_images/2017-06-18__13-23-50-617.png,True,6
2017-06-15__14-08-45-158.jpeg,PI_52606,../input/sorghum-id-fgvc-9/train_images/2017-06-15__14-08-45-158.png,True,7
2017-06-13__10-47-59-932.jpeg,PI_145633,../input/sorghum-id-fgvc-9/train_images/2017-06-13__10-47-59-932.png,True,8
2017-06-20__12-22-35-820.jpeg,PI_273969,../input/sorghum-id-fgvc-9/train_images/2017-06-20__12-22-35-820.png,True,9
2017-06-23__13-11-29-409.jpeg,PI_196586,../input/sorghum-id-fgvc-9/train_images/2017-06-23__13-11-29-409.png,True,10
2017-06-20__12-22-46-212.jpeg,PI_156463,../input/sorghum-id-fgvc-9/train_images/2017-06-20__12-22-46-212.png,True,11
2017-06-17__12-58-37-901.jpeg,PI_22913,../input/sorghum-id-fgvc-9/train_images/2017-06-17__12-58-37-901.png,True,12
2017-06-15__13-37-03-707.jpeg,PI_156393,../input/sorghum-id-fgvc-9/train_images/2017-06-15__13-37-03-707.png,True,13
2017-06-28__10-20-19-407.jpeg,PI_35038,../input/sorghum-id-fgvc-9/train_images/2017-06-28__10-20-19-407.png,True,14
2017-06-18__13-33-39-435.jpeg,PI_152828,../input/sorghum-id-fgvc-9/train_images/2017-06-18__13-33-39-435.png,True,15
2017-06-23__12-44-08-451.jpeg,PI_152694,../input/sorghum-id-fgvc-9/train_images/2017-06-23__12-44-08-451.png,True,16
2017-06-21__11-25-59-146.jpeg,PI_329310,../input/sorghum-id-fgvc-9/train_images/2017-06-21__11-25-59-146.png,True,17
2017-06-01__12-15-24-632.jpeg,PI_22913,../input/sorghum-id-fgvc-9/train_images/2017-06-01__12-15-24-632.png,True,12
2017-06-15__11-49-51-986.jpeg,PI_251672,../input/sorghum-id-fgvc-9/train_images/2017-06-15__11-49-51-986.png,True,18
2017-06-17__14-20-22-298.jpeg,PI_156330,../input/sorghum-id-fgvc-9/train_images/2017-06-17__14-20-22-298.png,True,5
2017-06-29__12-16-56-358.jpeg,PI_154750,../input/sorghum-id-fgvc-9/train_images/2017-06-29__12-16-56-358.png,True,19
2017-06-29__10-26-32-577.jpeg,PI_213900,../input/sorghum-id-fgvc-9/train_images/2017-06-29__10-26-32-577.png,True,20
2017-06-17__12-40-12-937.jpeg,PI_152816,../input/sorghum-id-fgvc-9/train_images/2017-06-17__12-40-12-937.png,True,21
2017-06-23__16-53-57-993.jpeg,PI_221651,../input/sorghum-id-fgvc-9/train_images/2017-06-23__16-53-57-993.png,True,22
2017-06-12__13-38-25-248.jpeg,PI_170787,../input/sorghum-id-fgvc-9/train_images/2017-06-12__13-38-25-248.png,True,23
2017-06-26__10-34-30-574.jpeg,PI_175919,../input/sorghum-id-fgvc-9/train_images/2017-06-26__10-34-30-574.png,True,24
